device,date,sleep_time,active_volume,avg_packet_size,mean_rate,peak_to_mean_rate,active_time,num_servers,num_protocols,unique_dns_reqs,dns_interval,ntp_interval
00-16-6c-ab-6b-88,16-09-23,5.13475,4394.65,318.07,313.95,24.7662,5.16224,36,183,4,1037738.742962,21600.614204
00-16-6c-ab-6b-88,16-09-24,5.98066,3917.15,329.56,283.81,40.2189,4.61026,40,18,4,3528051.345773,21030.639694
00-16-6c-ab-6b-88,16-09-25,6.24698,4063.02,330.79,283.87,42.888,4.64446,33,17,4,5174763.535862,17640.086428
00-16-6c-ab-6b-88,16-09-26,5.75079,3588.26,295.81,256.60,25.5799,4.79437,39,12,2,1061076.553445,21600.466048
00-16-6c-ab-6b-88,16-09-27,5.7712,2446.35,248.35,173.50,24.39,4.82234,29,11,2,1243663.080578,21600.611992
00-16-6c-ab-6b-88,16-09-28,5.34886,2714.72,242.39,201.71,486.218,4.83609,40,50,4,651533.156181,19528.025037
00-16-6c-ab-6b-88,16-09-29,5.80761,2377.53,250.99,174.58,25.918,4.63834,22,35,2,1288346.576959,21602.150432
00-16-6c-ab-6b-88,16-09-30,5.87668,2245.74,256.07,168.90,25.1569,4.49376,31,40,2,1783828.140736,16201.824914
00-16-6c-ab-6b-88,16-10-01,5.78879,2364.84,255.20,171.62,25.1281,4.70615,30,127,2,1913502.814687,12962.568678
00-16-6c-ab-6b-88,16-10-02,6.17964,2245.73,269.68,163.63,25.2756,4.48607,27,11,2,6414818.242478,21600.590329
00-16-6c-ab-6b-88,16-10-03,6.15029,2270.73,270.86,164.56,44.5927,4.52372,32,17,4,7848400.403514,16120.627411
00-16-6c-ab-6b-88,16-10-04,5.89955,2386.57,246.37,170.57,24.8088,4.71581,31,14,2,1106966.141418,21600.550972
00-16-6c-ab-6b-88,16-10-05,3.78896,3529.67,234.24,255.60,31.7834,6.10169,33,503,5,329317.650446,21600.499346
00-16-6c-ab-6b-88,16-10-06,5.44793,2390.29,252.38,177.72,262.174,4.77655,29,24,2,1042202.324959,16201.661455
00-16-6c-ab-6b-88,16-10-08,5.69529,2129.46,266.15,158.73,20.8955,4.62933,18,11,2,3369706.203019,16202.960549
00-16-6c-ab-6b-88,16-10-09,6.17786,2239.09,276.52,155.09,18.0953,4.71837,17,11,2,28384956.139488,21600.517911
00-16-6c-ab-6b-88,16-10-10,5.72339,2093.81,272.33,156.80,17.5024,4.59301,22,11,2,8838946.833081,21600.507630
00-16-6c-ab-6b-88,16-10-11,3.65216,5193.06,320.31,373.96,21.6443,6.26286,29,2081,4,378899.006316,16201.685128
00-16-6c-ab-6b-88,16-10-12,5.66655,2378.44,277.52,169.69,27.2969,4.85147,25,86,4,6503262.715288,10802.869866
00-24-e4-11-18-a8,16-09-23,1.82341,336.361,60.75,32.98,51.0706,6.34286,4,5,2,4018089.777176,N/A
00-24-e4-11-18-a8,16-09-24,1.84804,321.468,60.03,31.84,80.8072,6.24752,6,6,2,4883195.391512,N/A
00-24-e4-11-18-a8,16-09-25,1.80527,320.16,59.65,31.87,53.8567,6.27212,4,5,2,5103154.544525,N/A
00-24-e4-11-18-a8,16-09-26,1.82692,327.733,60.40,32.60,53.1856,6.24718,4,5,2,4325215.031049,N/A
00-24-e4-11-18-a8,16-09-27,1.8308,332.777,60.74,33.08,49.7839,6.24662,4,5,2,3975699.146431,N/A
00-24-e4-11-18-a8,16-09-28,1.82638,340.881,61.83,33.80,75.5814,6.26789,6,6,3,3503731.683632,N/A
