device,date,hour,sleep_time,active_volume,avg_packet_size,mean_rate,peak_to_mean_rate,active_time,num_servers,num_protocols,unique_dns_reqs,dns_interval,ntp_interval
00-16-6c-ab-6b-88,16-09-23,00,4.96896,3482.25,310.97,289.97,18.2077,4.50502,19,11,2,31373538.741675,N/A
00-16-6c-ab-6b-88,16-09-23,01,5.51064,3560.62,316.40,287.12,18.3313,4.36552,21,9,2,33512724.436658,N/A
00-16-6c-ab-6b-88,16-09-23,02,5.31628,4209.15,304.86,296.24,17.7614,5.148,21,9,2,23783281.854739,N/A
00-16-6c-ab-6b-88,16-09-23,03,6.4591,4280.56,329.77,281.57,13.4044,4.80769,15,9,2,105326065.397637,N/A
00-16-6c-ab-6b-88,16-09-23,04,6.32031,5726.91,318.52,286.95,13.6327,6.4382,18,9,2,35965138.796830,N/A
00-16-6c-ab-6b-88,16-09-23,05,7.40407,4929.86,316.08,288.53,18.7725,4.91827,20,9,2,39853337.325292,N/A
00-16-6c-ab-6b-88,16-09-23,06,6.27979,4463.08,322.20,287.98,13.0758,5,16,11,2,70217954.011671,N/A
00-16-6c-ab-6b-88,16-09-23,07,5.5622,3515.71,331.82,280.44,13.4527,4.40493,14,9,2,147458078.439609,N/A
00-16-6c-ab-6b-88,16-09-23,08,5.20548,3368.71,313.01,285.59,13.1545,4.30693,21,9,2,30720523.761821,N/A
00-16-6c-ab-6b-88,16-09-23,09,4.8512,3763.77,284.75,310.76,17.1583,4.62162,19,9,2,14456747.692770,N/A
00-16-6c-ab-6b-88,16-09-23,10,4.25709,3501.19,277.59,305.82,12.281,4.72524,23,9,2,11610963.323689,N/A
00-16-6c-ab-6b-88,16-09-23,11,4.9163,3821.22,316.48,285.05,13.2081,5.0709,20,9,2,40960997.096070,N/A
00-16-6c-ab-6b-88,16-09-23,12,3.80682,5756.2,366.90,394.80,19.8073,6.42683,24,49,4,42131417.118045,N/A
00-16-6c-ab-6b-88,16-09-23,13,3.14408,7447.51,343.33,472.16,14.9214,7.69912,25,66,4,10169677.075562,N/A
00-16-6c-ab-6b-88,16-09-23,14,2.32444,8453.7,275.48,512.43,13.146,9.34722,27,67,4,3963996.779789,N/A
00-16-6c-ab-6b-88,16-09-23,15,3.57587,6997.04,310.81,435.97,20.6173,7.3125,26,43,4,8147018.251070,N/A
00-16-6c-ab-6b-88,16-09-23,16,5.47518,4331.14,317.94,288.95,10.8869,5.29707,17,9,2,49153765.817817,N/A
00-16-6c-ab-6b-88,16-09-23,17,5.42824,3588.82,318.84,288.81,18.283,4.41667,15,9,2,64113730.535279,N/A
00-16-6c-ab-6b-88,16-09-23,18,5.83744,3571.77,326.56,283.80,18.5484,4.29329,15,11,2,61442486.485220,N/A
00-16-6c-ab-6b-88,16-09-23,19,5.94763,3683.33,334.64,282.21,13.3069,4.3956,15,9,2,147462463.588564,N/A
00-16-6c-ab-6b-88,16-09-23,20,6.05303,3449.4,334.76,280.08,18.8522,4.10035,15,9,2,122885562.812367,N/A
00-16-6c-ab-6b-88,16-09-23,21,6.16071,4206.19,343.19,274.02,13.7019,5.03478,9,6,N/A,N/A,N/A
00-16-6c-ab-6b-88,16-09-23,22,7.3526,4555.23,333.88,284.62,13.2015,4.63514,9,6,N/A,N/A,N/A
